Id_campaña, Id_canal
100000,102
100001,101
100002,103
100003,101
100004,100
100005,100
100006,102
100007,101
100008,104
100009,103
100010,105
100011,108
100012,106
100013,110
100014,107
100015,104
100016,109
100017,100
100018,101
100019,102
100020,105
100021,108
100022,106
100023,110
100024,107
100025,104
100026,109
100027,100
100028,101
100029,102
100030,105
100031,108
100032,106
100033,110
100034,107
100035,104
100036,109
100037,100
100038,101
100039,102
100040,105
100041,108
100042,106
100043,110
100044,107
100045,104
100046,109
100047,100
100048,101
100049,102
100050,105
100051,108
100052,106
100053,110
100054,107
100055,104
100056,109
100057,100
100058,101
100059,102
100060,105
100061,108
100062,106
100063,110
100064,107
100065,104
100066,109
100067,100
100068,101
100069,102
100070,105
100071,108
100072,106
100073,110
100074,107
100075,104
100076,109
100077,100
100078,101
100079,102
100080,105
100081,108
100082,106
100083,110
100084,107
100085,104
100086,109
100087,100
100088,101
100089,102
100090,105
100091,108
100092,106
100093,110
100094,107
100095,104
100096,109
100097,100
100098,101
100099,102
